hash_n,mlp_base,mlp_t0,mlp_gain,mlp_l2_base,mlp_l2_t0
0,15.862,15.928,0.067,16.224,16.298
1,4.991,15.732,10.741,5.037,16.081
2,3.357,15.408,12.051,3.382,15.758
3,2.321,10.287,7.965,2.337,10.457
4,1.659,7.301,5.641,1.668,7.408
5,1.55,5.68,4.13,1.558,5.759
