hash_n,mem_intensity,base_cyc_per_access,base_mlp_l1,t0_cyc_per_access,t0_best_pfdist,t0_mlp_l1,t0_speedup_pct,t0_ideal_cyc_per_access,t0_ideal_best_pfdist,t0_ideal_mlp_l1,t0_ideal_speedup_pct,mshr_headroom_pct
0,0.10073,34.325,15.86,34.145,64.0,15.93,100.5,18.74,256.0,100.15,183.2,82.7
1,0.03778,86.797,4.99,34.588,64.0,15.73,250.9,18.742,256.0,69.16,463.1,212.2
2,0.02747,123.936,3.36,35.138,32.0,15.41,352.7,22.13,256.0,38.49,560.0,207.3
3,0.01295,175.642,2.32,47.713,64.0,10.29,368.1,44.651,64.0,11.68,393.4,25.3
4,0.01007,241.168,1.66,64.358,32.0,7.3,374.7,61.972,64.0,7.72,389.2,14.5
5,0.00824,258.131,1.55,80.54,64.0,5.68,320.5,78.716,128.0,5.85,327.9,7.4
