run,hash_n,swpf,l1d_mshrs,mem_intensity,mlp_l1,mlp_l2,mlp_rob_limit,mlp_l1_limit,dram_gb_per_s
d256_m512,0.0,1.0,512.0,0.08714,113.1,114.39,19.52,512.0,14.79
d128_m512,0.0,1.0,512.0,0.08714,68.82,70.37,19.52,512.0,14.34
t0_mshr512_nopatch,0.0,1.0,512.0,0.08714,30.53,31.35,19.52,512.0,12.26
h0_t0_mshr512_d128,0.0,1.0,512.0,0.08714,68.79,70.33,19.52,512.0,14.34
h0_t0_mshr512_d64,0.0,1.0,512.0,0.08714,42.77,43.92,19.52,512.0,13.38
h0_t0_mshr512_d32,0.0,1.0,512.0,0.08715,30.54,31.36,19.52,512.0,12.26
h0_t0_mshr512_d16,0.0,1.0,512.0,0.08715,23.73,24.31,19.52,512.0,10.89
d64_m512,0.0,1.0,512.0,0.08715,42.71,43.85,19.52,512.0,13.37
t0_mshr512_patch,0.0,1.0,512.0,0.08715,30.53,31.35,19.52,512.0,12.27
h0_t0_mshr10_d16,0.0,1.0,10.0,0.08715,9.94,10.11,19.52,10.0,5.8
h0_t0_mshr10_d32,0.0,1.0,10.0,0.08715,9.94,10.11,19.52,10.0,5.8
t0_mshr10_patch,0.0,1.0,10.0,0.08715,9.94,10.11,19.52,10.0,5.8
t0_mshr10_nopatch,0.0,1.0,10.0,0.08715,9.94,10.11,19.52,10.0,5.8
d64_m10,0.0,1.0,10.0,0.08715,9.94,10.11,19.52,10.0,5.8
h0_t0_mshr10_d64,0.0,1.0,10.0,0.08715,9.94,10.11,19.52,10.0,5.8
d128_m10,0.0,1.0,10.0,0.08716,9.93,10.08,19.52,10.0,5.79
h0_t0_mshr10_d128,0.0,1.0,10.0,0.08716,9.94,10.09,19.52,10.0,5.79
h0_t0_mshr10_d256,0.0,1.0,10.0,0.08717,9.92,9.83,19.53,10.0,5.67
base_mshr10,0.0,0.0,10.0,0.10651,9.92,10.08,23.86,10.0,5.8
h0_base_mshr10,0.0,0.0,10.0,0.10651,9.92,10.08,23.86,10.0,5.79
