hash_n,mem_intensity,base_cyc_per_access,base_mlp_l1,t0_cyc_per_access,t0_best_pfdist,t0_mlp_l1,t0_speedup_pct,t0_ideal_cyc_per_access,t0_ideal_best_pfdist,t0_ideal_mlp_l1,t0_ideal_speedup_pct,mshr_headroom_pct
0,0.10651,42.344,9.92,42.287,16.0,9.94,100.1,19.998,32.0,30.53,211.7,111.6
1,0.03994,74.768,5.17,42.486,32.0,9.89,176.0,21.725,32.0,24.03,344.2,168.2
2,0.02905,107.317,3.47,42.629,32.0,9.84,251.7,24.068,32.0,20.86,445.9,194.2
3,0.01369,153.786,2.36,48.723,32.0,8.33,315.6,45.218,32.0,9.48,340.1,24.5
4,0.01065,211.807,1.67,63.531,32.0,6.17,333.4,61.394,32.0,6.65,345.0,11.6
5,0.00871,228.255,1.55,80.576,32.0,4.78,283.3,78.293,32.0,5.04,291.5,8.2
