hash_n,mlp_base,mlp_t0,mlp_gain,mlp_l2_base,mlp_l2_t0
0,15.862,15.929,0.067,16.224,16.302
1,4.991,15.734,10.743,5.037,16.081
2,3.357,15.408,12.051,3.382,15.758
3,2.321,10.291,7.969,2.337,10.463
4,1.659,7.301,5.641,1.668,7.408
5,1.55,5.681,4.132,1.558,5.762
