hash_n,mem_intensity,base_cyc_per_access,base_mlp_l1,t0_cyc_per_access,t0_best_pfdist,t0_mlp_l1,t0_speedup_pct,t0_ideal_cyc_per_access,t0_ideal_best_pfdist,t0_ideal_mlp_l1,t0_ideal_speedup_pct,mshr_headroom_pct
0,0.10073,34.325,15.86,34.146,32.0,15.93,100.5,21.841,32.0,35.37,157.2,56.7
1,0.03778,86.797,4.99,34.599,32.0,15.73,250.9,25.945,32.0,24.08,334.5,83.6
2,0.02747,123.936,3.36,35.138,32.0,15.41,352.7,28.397,32.0,21.11,436.4,83.7
3,0.01295,175.642,2.32,47.745,32.0,10.29,367.9,46.507,32.0,10.96,377.7,9.8
4,0.01007,241.168,1.66,64.358,32.0,7.3,374.7,62.088,32.0,7.75,388.4,13.7
5,0.00824,258.131,1.55,80.561,32.0,5.68,320.4,78.718,32.0,5.85,327.9,7.5
